글자,초성,속성,중성,프레임,종성,분류,효과,상태,비고
가,ㄱ,목,ㅏ,양·단일,무,공격,단일 대상에 곧게 뻗는 생목 가시(근중거리),LOCKED,
각,ㄱ,목,ㅏ,양·단일,ㄱ,공격,"완전 속박 — 대상 행동 불가(보스는 둔화). 시간 만료로만 해제 — 묶인 대상 타격 가능, 추가 피해 없음",LOCKED,
간,ㄱ,목,ㅏ,양·단일,ㄴ,공격,박힌 가시의 불씨 — 대상이 쓰러지거나 시간이 지나면 가장 가까운 적에게 옮아 같은 피해(번짐),LOCKED,
감,ㄱ,목,ㅏ,양·단일,ㅁ,상합 설치,덩굴 표식 설치를 적 1체에 발사·부착(C4식). 부착 후 공격 진 명중 시 격발 — 큰 그로기+속성 피해(임시처리 TEST),LOCKED,
갓,ㄱ,목,ㅏ,양·단일,ㅅ,공격,숨통 가르기 — 체력이 낮은 대상에게 큰 추가 피해(처형),LOCKED,
강,ㄱ,목,ㅏ,양·단일,ㅇ,공격,젖은 가시 — 갑주 틈으로 스며 방어력 무시 피해,LOCKED,
거,ㄱ,목,ㅓ,음·단일,무,패링,덩굴 방벽으로 받아침 — 상극 초성+ㅓ 완성형(판정·보상=Combat 3장). 완성=잔존 방어막(앞 구간 패링 판정·뒤 구간 일반 경감 — 창·수치=Combat 3장),LOCKED,
걱,ㄱ,목,ㅓ,음·단일,ㄱ,버프,오랫동안 천천히 체력 회복(지속 재생 — 동기),LOCKED,
건,ㄱ,목,ㅓ,음·단일,ㄴ,버프,짧고 크게 체력 회복(단기 대폭),LOCKED,
검,ㄱ,목,ㅓ,음·단일,ㅁ,버프,나무를 심어 그 영역 안에서 회복 — 나무는 시간 경과 또는 피격 시 소멸,LOCKED,
것,ㄱ,목,ㅓ,음·단일,ㅅ,버프,목검 변신(검 공통 스펙: 작도 불가·클릭=검격·상극 검격 그로기 소폭·먹 소진 해제),LOCKED,
겅,ㄱ,목,ㅓ,음·단일,ㅇ,버프,모든 술식에 목 소투사체 동반(잔탄 몸=목),LOCKED,
고,ㄱ,목,ㅗ,양·광역,무,공격,지정 영역에서 가시 일제 솟음(즉발),LOCKED,
곡,ㄱ,목,ㅗ,양·광역,ㄱ,공격,영역에 덩굴이 일정 시간 퍼져 잔존 — 이동 감속장,LOCKED,
곤,ㄱ,목,ㅗ,양·광역,ㄴ,공격,"영역의 적들을 짧게 쳐올림 — 광역 인터럽트(예열 끊기, 완화형)",LOCKED,
곰,ㄱ,목,ㅗ,양·광역,ㅁ,소환,덩굴·나무 짐승 소환수를 빚어 세움(재질=초성). 그로기 미축적·어그로 없음,LOCKED,개별 형태·행동·상한·지속 [TBD]
곳,ㄱ,목,ㅗ,양·광역,ㅅ,공격,굳은 가시밭 — 솟은 가시가 잠시 남아 밟는 적에게 피해(피해 장판),LOCKED,
공,ㄱ,목,ㅗ,양·광역,ㅇ,공격,"흐르는 수풀 — 뿌리 파도가 전진하며 소폭 피해, 파도 뒤의 플레이어에게 은엄폐 제공(이동식 엄폐)",LOCKED,
